CompoundName	PrecursorMz	ProductMz	LibraryIntensity	NormalizedRetentionTime	SumFormula	SMILES	InChI	TransitionGroupId
1,6-ANHYDRO-B-GLUCOSE	163.0601	127.04005	0.1657489	60.0	C6H10O5	C1C2C(C(C(C(O1)O2)O)O)O	TWNIBLMWSKIRAT-VFUOTHLCSA-N	1,6-ANHYDRO-B-GLUCOSE_971
1,6-ANHYDRO-B-GLUCOSE	163.0601	85.02904	0.9906388	60.0	C6H10O5	C1C2C(C(C(C(O1)O2)O)O)O	TWNIBLMWSKIRAT-VFUOTHLCSA-N	1,6-ANHYDRO-B-GLUCOSE_969
1,6-ANHYDRO-B-GLUCOSE	163.0601	69.03385	1.0	60.0	C6H10O5	C1C2C(C(C(C(O1)O2)O)O)O	TWNIBLMWSKIRAT-VFUOTHLCSA-N	1,6-ANHYDRO-B-GLUCOSE_968
1,7-DIMETHYLURIC ACID	197.06691	140.0474	0.94815344	60.0	C7H8N4O3	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	NOFNCLGCUJJPKU-UHFFFAOYSA-N	1,7-DIMETHYLURIC ACID_1380
1,7-DIMETHYLURIC ACID	197.06691	42.03433	0.7911932	60.0	C7H8N4O3	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	NOFNCLGCUJJPKU-UHFFFAOYSA-N	1,7-DIMETHYLURIC ACID_1381
1,7-DIMETHYLURIC ACID	197.06691	69.04582	0.4509943	60.0	C7H8N4O3	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	NOFNCLGCUJJPKU-UHFFFAOYSA-N	1,7-DIMETHYLURIC ACID_1382
1,7-DIMETHYLURIC ACID	197.06691	97.02716	0.07883523	60.0	C7H8N4O3	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	NOFNCLGCUJJPKU-UHFFFAOYSA-N	1,7-DIMETHYLURIC ACID_1383
1,7-DIMETHYLURIC ACID	197.06691	166.02695	0.029829545	60.0	C7H8N4O3	CN1C2=C(NC1=O)NC(=O)N(C2=O)C	NOFNCLGCUJJPKU-UHFFFAOYSA-N	1,7-DIMETHYLURIC ACID_1384
1-AMINOADAMANTANE	152.14337	93.07201	0.1835737	60.0	C10H17N	C1C2CC3CC1CC(C2)(C3)N	DKNWSYNQZKUICI-UHFFFAOYSA-N	1-AMINOADAMANTANE_1673
1-AMINOADAMANTANE	152.14337	58.06684	0.25910532	60.0	C10H17N	C1C2CC3CC1CC(C2)(C3)N	DKNWSYNQZKUICI-UHFFFAOYSA-N	1-AMINOADAMANTANE_1672
1-AMINOADAMANTANE	152.14337	135.11952	1.0	60.0	C10H17N	C1C2CC3CC1CC(C2)(C3)N	DKNWSYNQZKUICI-UHFFFAOYSA-N	1-AMINOADAMANTANE_1670
1-AMINOADAMANTANE	152.14337	77.04027	0.4206795	60.0	C10H17N	C1C2CC3CC1CC(C2)(C3)N	DKNWSYNQZKUICI-UHFFFAOYSA-N	1-AMINOADAMANTANE_1671
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID	102.054955	56.04964	1.0	60.0	C4H7NO2	C1CC1(C(=O)O)N	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID_571
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID	102.054955	60.9877	0.0245	60.0	C4H7NO2	C1CC1(C(=O)O)N	PAJPWUMXBYXFCZ-UHFFFAOYSA-N	1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID_572
1-HYDROXY-2-NAPHTHOIC ACID	189.05463	61.92643	0.06570433	60.0	C11H8O3	C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SJJCQDRGABAVBB-UHFFFAOYSA-N	1-HYDROXY-2-NAPHTHOIC ACID_493
1-HYDROXY-2-NAPHTHOIC ACID	189.05463	143.04814	0.31458434	60.0	C11H8O3	C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SJJCQDRGABAVBB-UHFFFAOYSA-N	1-HYDROXY-2-NAPHTHOIC ACID_492
1-HYDROXY-2-NAPHTHOIC ACID	189.05463	115.05218	0.8222996	60.0	C11H8O3	C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SJJCQDRGABAVBB-UHFFFAOYSA-N	1-HYDROXY-2-NAPHTHOIC ACID_491
1-HYDROXY-2-NAPHTHOIC ACID	189.05463	171.04279	1.0	60.0	C11H8O3	C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SJJCQDRGABAVBB-UHFFFAOYSA-N	1-HYDROXY-2-NAPHTHOIC ACID_490
1-HYDROXY-2-NAPHTHOIC ACID	189.05463	89.03487	0.059731208	60.0	C11H8O3	C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O	SJJCQDRGABAVBB-UHFFFAOYSA-N	1-HYDROXY-2-NAPHTHOIC ACID_494
1-METHYL-HYDANTOIN	115.0502	44.05004	1.0	60.0	C4H6N2O2	CN1CC(=O)NC1=O	RHYBFKMFHLPQPH-UHFFFAOYSA-N	1-METHYL-HYDANTOIN_252
1-METHYL-HYDANTOIN	115.0502	87.05682	0.39970934	60.0	C4H6N2O2	CN1CC(=O)NC1=O	RHYBFKMFHLPQPH-UHFFFAOYSA-N	1-METHYL-HYDANTOIN_253
1-METHYLADENOSINE	282.1197	123.06864	0.02	60.0	C11H15N5O4	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-METHYLADENOSINE_117
1-METHYLADENOSINE	282.1197	55.01939	0.016666668	60.0	C11H15N5O4	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-METHYLADENOSINE_118
1-METHYLADENOSINE	282.1197	85.02901	0.015000001	60.0	C11H15N5O4	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-METHYLADENOSINE_119
1-METHYLADENOSINE	282.1197	150.07864	1.0	60.0	C11H15N5O4	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-METHYLADENOSINE_115
1-METHYLADENOSINE	282.1197	94.04182	0.04633333	60.0	C11H15N5O4	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	GFYLSDSUCHVORB-IOSLPCCCSA-N	1-METHYLADENOSINE_116
1-METHYLGUANIDINE	74.07127	57.04686	1.0	60.0	C2H7N3	CN=C(N)N	CHJJGSNFBQVOTG-UHFFFAOYSA-N	1-METHYLGUANIDINE_1780
1-METHYLGUANIDINE	74.07127	57.05144	0.5039857	60.0	C2H7N3	CN=C(N)N	CHJJGSNFBQVOTG-UHFFFAOYSA-N	1-METHYLGUANIDINE_1781
1-METHYLURIC ACID	183.05127	96.01982	0.6885288	60.0	C6H6N4O3	CN1C(=O)C2=C(NC(=O)N2)NC1=O	QFDRTQONISXGJA-UHFFFAOYSA-N	1-METHYLURIC ACID_1278
1-METHYLURIC ACID	183.05127	55.02935	1.0	60.0	C6H6N4O3	CN1C(=O)C2=C(NC(=O)N2)NC1=O	QFDRTQONISXGJA-UHFFFAOYSA-N	1-METHYLURIC ACID_1274
1-METHYLURIC ACID	183.05127	155.0564	0.86368304	60.0	C6H6N4O3	CN1C(=O)C2=C(NC(=O)N2)NC1=O	QFDRTQONISXGJA-UHFFFAOYSA-N	1-METHYLURIC ACID_1275
1-METHYLURIC ACID	183.05127	70.03981	0.73611116	60.0	C6H6N4O3	CN1C(=O)C2=C(NC(=O)N2)NC1=O	QFDRTQONISXGJA-UHFFFAOYSA-N	1-METHYLURIC ACID_1277
1-METHYLURIC ACID	183.05127	126.03023	0.83693415	60.0	C6H6N4O3	CN1C(=O)C2=C(NC(=O)N2)NC1=O	QFDRTQONISXGJA-UHFFFAOYSA-N	1-METHYLURIC ACID_1276
1-METHYLXANTHINE	167.05635	110.03681	0.9114998	60.0	C6H6N4O2	CN1C(=O)C2=C(NC1=O)N=CN2	MVOYJPOZRLFTCP-UHFFFAOYSA-N	1-METHYLXANTHINE_927
1-METHYLXANTHINE	167.05635	67.03099	0.13841008	60.0	C6H6N4O2	CN1C(=O)C2=C(NC1=O)N=CN2	MVOYJPOZRLFTCP-UHFFFAOYSA-N	1-METHYLXANTHINE_930
1-METHYLXANTHINE	167.05635	124.05292	0.3676357	60.0	C6H6N4O2	CN1C(=O)C2=C(NC1=O)N=CN2	MVOYJPOZRLFTCP-UHFFFAOYSA-N	1-METHYLXANTHINE_929
1-METHYLXANTHINE	167.05635	55.03088	0.8085927	60.0	C6H6N4O2	CN1C(=O)C2=C(NC1=O)N=CN2	MVOYJPOZRLFTCP-UHFFFAOYSA-N	1-METHYLXANTHINE_928
1-OLEOYL-RAC-GLYCEROL	357.29993	97.10465	0.68519807	60.0	C21H40O4	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-OLEOYL-RAC-GLYCEROL_565
1-OLEOYL-RAC-GLYCEROL	357.29993	121.10048	1.0	60.0	C21H40O4	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-OLEOYL-RAC-GLYCEROL_561
1-OLEOYL-RAC-GLYCEROL	357.29993	265.25336	0.69492704	60.0	C21H40O4	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-OLEOYL-RAC-GLYCEROL_564
1-OLEOYL-RAC-GLYCEROL	357.29993	81.06963	0.7783183	60.0	C21H40O4	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-OLEOYL-RAC-GLYCEROL_562
1-OLEOYL-RAC-GLYCEROL	357.29993	43.01945	0.69492704	60.0	C21H40O4	CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O	RZRNAYUHWVFMIP-KTKRTIGZSA-N	1-OLEOYL-RAC-GLYCEROL_563
10-HYDROXYDECANOIC ACID	189.14851	135.11739	0.4159292	60.0	C10H20O3	C(CCCCC(=O)O)CCCCO	YJCJVMMDTBEITC-UHFFFAOYSA-N	10-HYDROXYDECANOIC ACID_1637
10-HYDROXYDECANOIC ACID	189.14851	55.05468	0.88821614	60.0	C10H20O3	C(CCCCC(=O)O)CCCCO	YJCJVMMDTBEITC-UHFFFAOYSA-N	10-HYDROXYDECANOIC ACID_1636
10-HYDROXYDECANOIC ACID	189.14851	69.06993	1.0	60.0	C10H20O3	C(CCCCC(=O)O)CCCCO	YJCJVMMDTBEITC-UHFFFAOYSA-N	10-HYDROXYDECANOIC ACID_1635
10-HYDROXYDECANOIC ACID	189.14851	93.06947	0.20773171	60.0	C10H20O3	C(CCCCC(=O)O)CCCCO	YJCJVMMDTBEITC-UHFFFAOYSA-N	10-HYDROXYDECANOIC ACID_1638
10-UNDECEN-1-OL	171.17435	155.08511	0.08008817	60.0	C11H22O	C=CCCCCCCCCCO	GIEMHYCMBGELGY-UHFFFAOYSA-N	10-UNDECEN-1-OL_1591
10-UNDECEN-1-OL	171.17435	135.11745	0.11976487	60.0	C11H22O	C=CCCCCCCCCCO	GIEMHYCMBGELGY-UHFFFAOYSA-N	10-UNDECEN-1-OL_1590
10-UNDECEN-1-OL	171.17435	97.10167	0.23475385	60.0	C11H22O	C=CCCCCCCCCCO	GIEMHYCMBGELGY-UHFFFAOYSA-N	10-UNDECEN-1-OL_1589
10-UNDECEN-1-OL	171.17435	69.06943	0.58008814	60.0	C11H22O	C=CCCCCCCCCCO	GIEMHYCMBGELGY-UHFFFAOYSA-N	10-UNDECEN-1-OL_1588
10-UNDECEN-1-OL	171.17435	55.05325	1.0	60.0	C11H22O	C=CCCCCCCCCCO	GIEMHYCMBGELGY-UHFFFAOYSA-N	10-UNDECEN-1-OL_1587
2',4'-DIHYDROXYACETOPHENONE	153.05463	43.01806	0.68659186	60.0	C8H8O3	CC(=O)C1=C(C=C(C=C1)O)O	SULYEHHGGXARJS-UHFFFAOYSA-N	2',4'-DIHYDROXYACETOPHENONE_137
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	308.0642	112.05119	1.0	60.0	C9H14N3O7P	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	NCMVOABPESMRCP-SHYZEUOFSA-N	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE_1250
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	308.0642	123.07732	0.002	60.0	C9H14N3O7P	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	NCMVOABPESMRCP-SHYZEUOFSA-N	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE_1254
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	308.0642	151.10992	0.0033333332	60.0	C9H14N3O7P	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	NCMVOABPESMRCP-SHYZEUOFSA-N	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE_1253
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	308.0642	81.03409	0.12466666	60.0	C9H14N3O7P	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	NCMVOABPESMRCP-SHYZEUOFSA-N	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE_1251
2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE	308.0642	53.03896	0.005	60.0	C9H14N3O7P	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	NCMVOABPESMRCP-SHYZEUOFSA-N	2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE_1252
2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE	348.07037	91.05192	0.018000001	60.0	C10H14N5O7P	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O	LTFMZDNNPPEQNG-KVQBGUIXSA-N	2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE_464
2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE	348.07037	57.07938	0.025	60.0	C10H14N5O7P	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O	LTFMZDNNPPEQNG-KVQBGUIXSA-N	2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE_463
2'-DEOXYURIDINE 5'-MONOPHOSPHATE	309.04822	53.04084	0.07083333	60.0	C9H13N2O8P	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	JSRLJPSBLDHEIO-SHYZEUOFSA-N	2'-DEOXYURIDINE 5'-MONOPHOSPHATE_1618
2'-DEOXYURIDINE 5'-MONOPHOSPHATE	309.04822	81.03335	1.0	60.0	C9H13N2O8P	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	JSRLJPSBLDHEIO-SHYZEUOFSA-N	2'-DEOXYURIDINE 5'-MONOPHOSPHATE_1617
2'-DEOXYURIDINE 5'-MONOPHOSPHATE	309.04822	236.87816	0.0034999999	60.0	C9H13N2O8P	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	JSRLJPSBLDHEIO-SHYZEUOFSA-N	2'-DEOXYURIDINE 5'-MONOPHOSPHATE_1621
2'-DEOXYURIDINE 5'-MONOPHOSPHATE	309.04822	193.06056	0.0043333336	60.0	C9H13N2O8P	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	JSRLJPSBLDHEIO-SHYZEUOFSA-N	2'-DEOXYURIDINE 5'-MONOPHOSPHATE_1620
2'-DEOXYURIDINE 5'-MONOPHOSPHATE	309.04822	113.03486	0.023000002	60.0	C9H13N2O8P	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O	JSRLJPSBLDHEIO-SHYZEUOFSA-N	2'-DEOXYURIDINE 5'-MONOPHOSPHATE_1619
2,3,4-TRIHYDROXYBENZOIC ACID	171.0288	125.02256	0.13041313	60.0	C7H6O5	C1=CC(=C(C(=C1C(=O)O)O)O)O	BRRSNXCXLSVPFC-UHFFFAOYSA-N	2,3,4-TRIHYDROXYBENZOIC ACID_1727
2,3,4-TRIHYDROXYBENZOIC ACID	171.0288	79.01817	0.38277748	60.0	C7H6O5	C1=CC(=C(C(=C1C(=O)O)O)O)O	BRRSNXCXLSVPFC-UHFFFAOYSA-N	2,3,4-TRIHYDROXYBENZOIC ACID_1726
2,3,4-TRIHYDROXYBENZOIC ACID	171.0288	153.01865	1.0	60.0	C7H6O5	C1=CC(=C(C(=C1C(=O)O)O)O)O	BRRSNXCXLSVPFC-UHFFFAOYSA-N	2,3,4-TRIHYDROXYBENZOIC ACID_1724
2,3,4-TRIHYDROXYBENZOIC ACID	171.0288	51.0213	0.541563	60.0	C7H6O5	C1=CC(=C(C(=C1C(=O)O)O)O)O	BRRSNXCXLSVPFC-UHFFFAOYSA-N	2,3,4-TRIHYDROXYBENZOIC ACID_1725
2,3,4-TRIHYDROXYBENZOIC ACID	171.0288	107.01074	0.09109009	60.0	C7H6O5	C1=CC(=C(C(=C1C(=O)O)O)O)O	BRRSNXCXLSVPFC-UHFFFAOYSA-N	2,3,4-TRIHYDROXYBENZOIC ACID_1728
2,3-DIAMINOPROPIONIC ACID	105.06586	42.03323	1.0	60.0	C3H8N2O2	C(C(C(=O)O)N)N	PECYZEOJVXMISF-REOHCLBHSA-N	2,3-DIAMINOPROPIONIC ACID_36
2,3-DIAMINOPROPIONIC ACID	105.06586	88.03943	0.57171905	60.0	C3H8N2O2	C(C(C(=O)O)N)N	PECYZEOJVXMISF-REOHCLBHSA-N	2,3-DIAMINOPROPIONIC ACID_37
2,4-DICHLOROPHENOL	162.97119	56.96616	0.44119847	60.0	C6H4Cl2O	C1=CC(=C(C=C1Cl)Cl)O	HFZWRUODUSTPEG-UHFFFAOYSA-N	2,4-DICHLOROPHENOL_63
2,4-DICHLOROPHENOL	162.97119	84.96087	1.0	60.0	C6H4Cl2O	C1=CC(=C(C=C1Cl)Cl)O	HFZWRUODUSTPEG-UHFFFAOYSA-N	2,4-DICHLOROPHENOL_62
2,4-DICHLOROPHENOL	162.97119	150.98286	0.20074907	60.0	C6H4Cl2O	C1=CC(=C(C=C1Cl)Cl)O	HFZWRUODUSTPEG-UHFFFAOYSA-N	2,4-DICHLOROPHENOL_65
2,4-DICHLOROPHENOL	162.97119	106.9917	0.07116105	60.0	C6H4Cl2O	C1=CC(=C(C=C1Cl)Cl)O	HFZWRUODUSTPEG-UHFFFAOYSA-N	2,4-DICHLOROPHENOL_66
2,4-DICHLOROPHENOL	162.97119	40.97024	0.3928839	60.0	C6H4Cl2O	C1=CC(=C(C=C1Cl)Cl)O	HFZWRUODUSTPEG-UHFFFAOYSA-N	2,4-DICHLOROPHENOL_64
2,4-DIHYDROXYBUTANOIC ACID	121.04954	65.04028	1.0	60.0	C4H8O4	C(CO)C(C(=O)O)O	UFYGCFHQAXXBCF-UHFFFAOYSA-N	2,4-DIHYDROXYBUTANOIC ACID_1219
2,4-DIHYDROXYBUTANOIC ACID	121.04954	39.02413	0.46954903	60.0	C4H8O4	C(CO)C(C(=O)O)O	UFYGCFHQAXXBCF-UHFFFAOYSA-N	2,4-DIHYDROXYBUTANOIC ACID_1220
2,6-DIAMINOHEPTANEDIOIC ACID	191.10263	128.07019	1.0	60.0	C7H14N2O4	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-WHFBIAKZSA-N	2,6-DIAMINOHEPTANEDIOIC ACID_1433
2,6-DIAMINOHEPTANEDIOIC ACID	191.10263	110.05838	0.026171485	60.0	C7H14N2O4	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-WHFBIAKZSA-N	2,6-DIAMINOHEPTANEDIOIC ACID_1436
2,6-DIAMINOHEPTANEDIOIC ACID	191.10263	145.09583	0.013708873	60.0	C7H14N2O4	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-WHFBIAKZSA-N	2,6-DIAMINOHEPTANEDIOIC ACID_1437
2,6-DIAMINOHEPTANEDIOIC ACID	191.10263	82.06394	0.70014954	60.0	C7H14N2O4	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-WHFBIAKZSA-N	2,6-DIAMINOHEPTANEDIOIC ACID_1434
2,6-DIAMINOHEPTANEDIOIC ACID	191.10263	55.0565	0.28315055	60.0	C7H14N2O4	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-WHFBIAKZSA-N	2,6-DIAMINOHEPTANEDIOIC ACID_1435
